0,43,696,49,23
1,725,683,1,1
2,930,682,5,3
3,938,680,55,15
4,568,678,280,21
5,849,677,36,22
6,157,651,20,16
7,231,649,261,22
8,16,649,118,30
9,877,648,117,23
10,495,648,381,23
11,900,602,66,16
12,208,600,31,18
13,815,599,21,13
14,723,599,20,15
15,637,598,22,16
16,152,594,27,17
17,102,594,16,13
18,10,586,61,23
19,817,577,12,8
20,895,575,79,18
21,730,575,15,12
22,643,575,15,12
23,104,570,14,8
24,203,567,41,24
25,153,564,25,18
26,12,561,61,20
27,901,552,65,15
28,811,550,37,15
29,633,550,37,16
30,719,549,35,15
31,157,530,23,16
32,13,529,59,22
33,798,526,50,17
34,626,526,43,15
35,902,525,86,14
36,709,525,52,16
37,90,523,47,34
38,902,503,68,14
39,376,503,13,4
40,210,503,55,15
41,323,502,13,6
42,627,500,12,7
43,581,500,13,7
44,533,500,12,7
45,979,497,14,11
46,428,497,17,15
47,213,478,52,14
48,627,474,12,8
49,581,474,12,8
50,881,473,93,19
51,539,472,15,12
52,372,472,22,15
53,978,471,13,11
54,417,471,48,18
55,318,471,25,17
56,210,453,55,14
57,896,449,73,17
58,627,449,12,8
59,581,449,13,8
60,979,448,8,9
61,530,446,27,16
62,372,446,23,16
63,416,445,48,19
64,318,445,24,17
65,376,427,13,4
66,210,427,55,15
67,982,426,5,5
68,726,426,63,17
69,897,424,74,17
70,627,424,12,7
71,581,424,13,7
72,539,421,15,12
73,417,420,48,18
74,321,420,15,13
75,213,402,52,14
76,722,400,68,15
77,892,398,80,17
78,533,398,12,8
79,376,397,14,12
80,623,396,28,15
81,578,396,28,15
82,318,396,24,17
83,416,394,48,19
84,210,376,55,15
85,980,375,11,5
86,725,375,64,17
87,855,373,115,17
88,627,373,12,8
89,539,372,14,12
90,578,370,28,16
91,416,370,49,17
92,371,370,25,18
93,317,369,25,17
94,213,352,52,14
95,725,351,64,16
96,861,348,110,18
97,581,348,12,8
98,623,346,28,15
99,539,346,15,12
100,372,346,24,18
101,418,345,40,19
102,317,345,26,18
103,713,326,76,16
104,210,326,55,15
105,981,325,9,5
106,898,324,72,16
107,627,323,12,8
108,533,323,12,8
109,375,321,15,11
110,578,320,28,16
111,321,320,15,13
112,416,319,48,19
113,714,301,74,16
114,226,301,24,14
115,930,299,39,16
116,980,298,11,7
117,538,297,15,11
118,632,295,15,13
119,317,295,17,14
120,576,294,37,15
121,417,294,48,18
122,371,294,24,17
123,226,276,24,14
124,932,275,37,14
125,709,275,80,14
126,979,274,13,8
127,632,271,15,12
128,587,270,15,12
129,529,270,28,14
130,416,269,49,18
131,372,269,23,16
132,316,269,26,17
133,936,251,34,13
134,210,250,55,15
135,714,248,73,16
136,627,247,12,8
137,979,246,13,7
138,578,244,28,16
139,539,244,15,12
140,418,244,40,19
141,371,244,25,18
142,316,243,27,19
143,210,225,55,15
144,715,223,70,15
145,627,222,12,7
146,581,222,12,7
147,980,221,11,8
148,944,221,29,17
149,374,221,17,15
150,321,220,16,13
151,530,219,28,16
152,416,218,48,18
153,213,200,52,14
154,714,198,73,15
155,870,196,101,17
156,581,196,12,8
157,374,195,17,16
158,320,195,16,12
159,623,194,28,15
160,539,194,15,12
161,416,193,49,18
162,226,175,24,14
163,722,173,67,15
164,925,172,48,16
165,372,171,15,11
166,622,168,36,15
167,587,168,15,12
168,529,168,29,16
169,417,167,48,19
170,317,167,26,19
171,583,153,12,6
172,533,151,13,9
173,319,151,21,12
174,487,150,13,10
175,139,150,22,12
176,365,148,30,17
177,976,132,15,20
178,879,131,27,13
179,706,130,42,14
180,504,129,125,13
181,425,129,36,19
182,320,129,21,13
183,368,128,22,13
184,203,127,68,22
185,139,127,24,13
186,39,126,61,19
187,750,91,246,23
188,663,67,23,19
189,893,66,67,25
190,472,66,26,15
191,365,64,31,17
192,701,59,36,27
193,120,59,201,23
194,553,34,45,18
195,350,32,67,18
196,470,30,38,22
197,173,30,94,22
198,647,28,113,26
199,848,27,84,25
200,393,5,278,21
201,12,5,21,11
